time,open,high,low,close,SMA 50,SMA 100,SMA 200,Volume,Volume MA,Plot,Plot,Plot,Histogram,MACD,Signal
1686909600,25577.29,25581.51,25455.22,25458.53,25671.774799999977,25905.518999999986,26377.13244999999,1062.35143126,2314.766081600506,25528.52111111121,25280.873809523782,NaN,59.945085396810924,-27.450852180449147,-87.39593757726007
1686916800,25457.23,25606.64,25455.49,25476.16,25661.823599999974,25896.455099999985,26365.824949999995,1385.71090587,1888.4067214945062,25532.296666666763,25261.98285714283,NaN,51.51851632110113,-22.99779217588366,-74.51630849698479
1686924000,25476.17,25858.59,25170.56,25808.62,25658.045799999978,25890.037099999987,26356.332599999994,4339.76925539,1990.021864976506,25558.823333333436,25294.540476190446,NaN,65.43239179183026,7.274181242803024,-58.15821054902723
1686931200,25814.01,26312.77,25761.43,26302.67,25667.973599999976,25889.10129999998,26349.071249999994,5808.47265365,2202.720466952006,25638.81222222232,25350.37904761902,NaN,102.7825993939625,70.32003869342589,-32.46256070053661
1686938400,26304,26509.64,26262.97,26374.42,25678.792199999974,25888.398399999984,26342.604049999994,4508.77661063,2376.372800031506,25734.965555555656,25412.621904761872,NaN,125.67982457305496,124.63722001578208,-1.042604557272874
1686945600,26373.95,26442.6,26281.16,26292.64,25688.40059999998,25887.23069999998,26338.609049999992,1667.3190115,2369.4350736375063,25817.464444444544,25471.393333333304,NaN,128.23351432188485,159.2492883450832,31.01577402319834
1686952800,26293.14,26377.6,26293.14,26336.15,25698.53299999998,25883.23559999998,26334.393799999994,897.5205663,2289.258579908006,25905.572222222323,25535.20523809521,NaN,125.60584652799925,188.0230821831974,62.417235655198155
1686960000,26336.15,26361.71,26188.49,26193.37,25703.740799999978,25880.218699999983,26329.638349999994,924.33780993,2266.885510583006,25980.023333333433,25595.333333333307,NaN,107.69347716940311,197.03408211695205,89.34060494754894
1686967200,26194.78,26282.07,26179.02,26252.77,25710.54799999998,25877.227499999983,26325.373549999997,623.57349853,2202.9485428240064,26055.03666666677,25659.915238095207,NaN,93.79714903652487,206.58704124320502,112.78989220668015
1686974400,26253.27,26804.05,26239.17,26678.5,25724.637399999978,25878.18539999998,26323.093299999997,1831.71575092,2134.6193590660064,26190.58888888899,25740.66285714283,NaN,106.3110083340562,245.6786526242504,139.3676442901942
1686981600,26679.93,26770.51,26557.22,26587.79,25735.166799999977,25878.93569999998,26321.451999999994,1193.35998491,2061.170940938506,26314.103333333434,25815.427142857116,NaN,101.52196568556977,266.2701013971564,164.74813571158663
1686988800,26586.79,26647.46,26563.22,26588.96,25745.18659999998,25879.64279999998,26319.103,579.03400924,1994.462057928006,26400.80777777788,25893.980952380924,NaN,91.77102669537419,279.46191908080436,187.69089238543017
1686996000,26586.01,26627.27,26475.75,26501.17,25753.640599999977,25879.68799999998,26316.524299999997,734.96576249,1857.110525181506,26422.863333333436,25959.519523809497,NaN,73.53484343420251,279.6094466781833,206.0746032439808
1687003200,26501.17,26572.28,26415.5,26548.02,25761.458199999975,25880.07009999998,26313.772999999997,1073.01787147,1721.8656800480062,26442.152222222325,26012.178571428543,NaN,59.361053784550535,280.27592047466896,220.91486669011843
1687010400,26547.02,26551.07,26310.46,26407.47,25765.68899999998,25879.109199999977,26309.7125,1206.05743608,1612.2174230925061,26454.911111111214,26052.06380952378,NaN,36.38178117495687,266.39209315881453,230.01031198385766
1687017600,26407.47,26493.26,26380.93,26420.02,25773.244999999977,25876.807899999978,26306.360700000005,1004.19282352,1602.477251248006,26464.2300000001,26091.932857142827,NaN,18.775576770173984,253.47978294657514,234.70420617640116
1687024800,26417.15,26528.69,26412.41,26472.55,25787.49899999998,25875.329099999974,26304.7962,631.48431086,1602.4222121975058,26495.250000000102,26137.814285714256,NaN,7.968690612376122,244.6650694418713,236.6963788294952
1687032000,26474.29,26546.93,26465.05,26517.54,25801.41279999998,25874.002699999975,26303.1078,708.04678612,1599.677056299506,26524.66888888899,26183.880476190447,NaN,1.4906527940365777,238.5596948220409,237.06904202800433
1687039200,26518.83,26587.76,26496.05,26515.09,25813.78679999998,25874.379399999976,26301.641150000003,506.74293241,1581.026947361506,26506.512222222325,26230.161904761877,NaN,-4.9654647727293195,230.86221106209268,235.827675834822
1687046400,26516.97,26533.73,26383.73,26488.63,25826.474599999976,25874.254999999972,26299.495750000006,629.70156416,1565.807548762006,26495.494444444546,26276.129523809494,NaN,-12.590347609031596,220.0897413235325,232.6800889325641
