time,open,high,low,close,"IXIC, NASDAQ: Open","IXIC, NASDAQ: High","IXIC, NASDAQ: Low","IXIC, NASDAQ: Close",SMA 50,SMA 100,SMA 200,Plot,Volume,Volume MA,Plot,Plot,Plot,Histogram,MACD,Signal
1688094000,30667.81,30866.33,30625.55,30737.72,NaN,NaN,NaN,NaN,30357.735199999934,30394.93170000009,30410.989650000014,24587.42339999998,1286.80280528,922.9924008860025,30503.863333333265,30515.833333333354,NaN,11.94963490541705,58.764040391317394,46.814405485900345
1688097600,30740.84,31278.69,30694.42,30862.24,NaN,NaN,NaN,NaN,30366.386599999933,30399.43500000009,30415.336150000017,24587.42339999998,2286.85328104,1018.1177377475026,30533.484444444377,30540.484761904787,NaN,27.63656643895957,81.3601135345998,53.723547095640235
1688101200,30877.95,30978.96,30656.77,30738.5,NaN,NaN,NaN,NaN,30371.93339999993,30404.99460000009,30419.595950000017,24587.42339999998,1053.98418837,1048.4264821260026,30570.381111111044,30557.133809523835,30570.381111111044,27.63349169307913,88.26541171198915,60.631920018910016
1688104800,30739.7,30760.19,30629.7,30668.53,NaN,NaN,NaN,NaN,30375.58279999993,30409.383400000086,30422.324750000014,24587.42339999998,794.35904991,1026.1285901240024,30597.758888888828,30567.981904761928,NaN,21.164879626678896,87.08801955225863,65.92313992557973
1688108400,30668.56,30844.37,30659.67,30776.18,NaN,NaN,NaN,NaN,30381.863199999927,30414.13270000009,30426.191800000015,24587.42339999998,1743.87878798,1070.4962365090025,30638.071111111047,30571.654285714307,NaN,22.269943764852954,93.76056963164592,71.49062586679297
1688112000,30774.14,30908.79,30731.8,30859,NaN,NaN,NaN,NaN,30391.349799999934,30420.246000000086,30429.798350000012,24587.42339999998,1134.85880856,1089.8590879680025,30683.179999999935,30580.49285714288,NaN,26.428761834227373,104.52657815957718,78.09781632534981
1688115600,30861.58,30862.78,30761.28,30777.5,NaN,NaN,NaN,NaN,30403.02079999993,30425.80950000008,30432.867200000015,24587.42339999998,550.50814708,1016.9381944260025,30719.875555555493,30587.563333333354,NaN,21.73684657859235,105.26887454859025,83.5320279699979
1688119200,30777.05,30871.2,30759.79,30822.54,NaN,NaN,NaN,NaN,30413.85179999993,30429.258100000083,30434.581550000017,24587.42339999998,438.56980377,961.6129078800025,30767.58888888883,30600.113333333356,NaN,19.769365601984646,108.2437349724787,88.47436937049406
1688122800,30822.04,30943.88,30786.41,30926.74,NaN,NaN,NaN,NaN,30426.26879999993,30434.439400000083,30437.753350000014,24587.42339999998,685.50573905,950.7894087685024,30796.549999999937,30622.24523809526,NaN,23.34304046262187,117.65316994877139,94.31012948614952
1688126400,30916.59,31124.6,30907.39,31016.1,NaN,NaN,NaN,NaN,30439.69979999993,30440.510300000085,30441.07660000001,24587.42339999998,1450.96310237,969.8706920445023,30827.481111111047,30647.779523809546,NaN,29.20220886852651,130.81289057180766,101.61068170328114
1688130000,31017.1,31097.19,29452.19,30143.26,13719.9821,13780.8073,13716.1572,13772.9688,30436.122599999933,30439.203100000086,30440.35655000001,24587.42339999998,11439.73484074,1472.8906994390024,30747.594444444385,30630.57095238098,NaN,-25.2851808047851,70.00420569729977,95.28938650208487
1688133600,30144.5,30302,29955.95,30085.09,13773.6103,13816.6751,13771.9315,13779.0277,30435.766799999932,30437.34500000009,30440.10930000001,24587.42339999998,5694.01050085,1723.1543822120025,30674.993333333274,30608.72809523812,NaN,-62.69233874816835,16.92396306687442,79.61630181504277
1688137200,30083.07,30204.02,30011.26,30070.29,13778.5773,13800.0676,13746.1462,13764.2191,30433.077799999926,30434.726300000086,30439.942100000015,24587.42339999998,1217.62982353,1707.566985289502,30608.52222222216,30584.79714285717,NaN,-84.52233270938085,-26.03661407168329,58.48571863769756
1688140800,30075.07,30518.15,29938.82,30409.43,13764.3467,13806.0909,13760.3914,13804.9359,30434.83419999993,30435.268700000084,30441.470100000013,24587.42339999998,2238.50992204,1754.2998304560024,30567.77222222216,30575.92952380955,30567.77222222216,-72.66423028560529,-32.34456921930905,40.319661066296234
1688144400,30408.73,30710.97,30381.82,30442.29,13804.8388,13807.6501,13793.7805,13804.2469,30435.259799999934,30433.286900000086,30442.96080000001,24587.42339999998,2073.90623086,1827.4801806715022,30521.471111111052,30577.637142857177,NaN,-59.69316061303251,-34.296789699994406,25.396370913038105
1688148000,30448.15,30526.69,30299.01,30355.43,13804.4662,13809.6283,13790.5351,13797.4369,30437.014199999932,30432.851400000087,30443.80145000001,24587.42339999998,1663.60659165,1894.8579880370023,30474.574444444384,30574.46095238098,NaN,-54.20866746110957,-42.36446341334886,11.84420404776071
1688151600,30354.89,30467.24,30333.72,30385.61,13797.5714,13814.2073,13784.3443,13784.3443,30441.650799999934,30432.467500000083,30446.036500000013,24587.42339999998,859.43003192,1918.7230070270023,30426.0266666666,30573.13904761908,NaN,-46.111349735316224,-45.794983121384575,0.31636661393165255
1688155200,30378.78,30508.65,30374.28,30402.19,13783.6284,13787.9227,13783.6284,13787.9227,30445.836799999935,30435.461800000085,30447.419200000008,24587.42339999998,968.25350773,1949.7499774395023,30367.74333333327,30570.718571428602,NaN,-37.56366209531696,-46.63821100521454,-9.074548909897587
1688158800,30401.42,30473.5,30348.91,30471.48,NaN,NaN,NaN,NaN,30453.181599999938,30439.216600000087,30448.52165000001,24587.42339999998,501.75877731,1948.7960711665023,30307.229999999938,30571.872857142887,NaN,-25.732330984588465,-41.239962640633166,-15.507631656044703
1688162400,30470.48,30525.28,30465.45,30485.35,NaN,NaN,NaN,NaN,30460.746999999938,30441.886400000087,30452.146550000012,24587.42339999998,415.22707989,1924.917550996502,30345.23999999994,30576.264761904793,NaN,-15.941219429668607,-35.43415594313046,-19.492936513461856
1688166000,30485.1,30538.89,30467.47,30477.68,NaN,NaN,NaN,NaN,30467.430599999934,30444.09960000009,30455.19140000001,24653.75749999998,414.41689487,1881.2982554760024,30388.861111111048,30567.292857142886,NaN,-9.280443428440286,-31.093490799012216,-21.81304737057193
1688169600,30477.43,30534.97,30433.81,30477.73,NaN,NaN,NaN,NaN,30474.822599999934,30447.235300000088,30457.66745000001,24653.75749999998,300.6971992,1781.9904513840024,30434.132222222157,30554.91238095241,NaN,-4.417045619498431,-27.334354394944967,-22.917308775446536
1688173200,30474.23,30488.1,30402.65,30448.6,NaN,NaN,NaN,NaN,30482.129399999933,30450.021400000085,30459.108450000007,24653.75749999998,461.15403535,1752.3489437330027,30438.484444444377,30535.21523809527,NaN,-2.7872890797615177,-26.401420125148434,-23.614131045386916
1688176800,30449.13,30522.27,30398.66,30431.84,NaN,NaN,NaN,NaN,30489.217199999937,30452.000300000087,30460.504700000005,24653.75749999998,329.60069519,1729.1110259970023,30437.323333333265,30520.612380952414,NaN,-2.4739734753317713,-26.70659788955163,-24.23262441421986
1688180400,30430.16,30443.76,30384.08,30400,NaN,NaN,NaN,NaN,30493.900999999936,30453.256900000088,30461.35600000001,24653.75749999998,188.02767696,1651.3184704460025,30442.27555555549,30507.82523809527,NaN,-3.958933751553328,-29.18129160366152,-25.222357852108193
1688184000,30399.75,30415.45,30331.5,30389.49,NaN,NaN,NaN,NaN,30499.305999999935,30453.745900000093,30462.491500000007,24653.75749999998,272.20548298,1608.1858041670025,30442.7066666666,30489.411428571464,NaN,-5.122920459852136,-31.626008426923363,-26.503087967071227
1688187600,30388.97,30426.99,30388,30425.67,NaN,NaN,NaN,NaN,30504.485199999934,30454.205300000092,30464.300500000012,24653.75749999998,107.6639316,1586.0435933930025,30445.315555555488,30468.7766666667,NaN,-3.0333861517916354,-30.29482065681077,-27.261434505019135
1688191200,30426.46,30462.68,30410.47,30450.7,NaN,NaN,NaN,NaN,30509.090199999933,30453.82060000009,30466.859650000013,24653.75749999998,198.23261391,1574.0267339000027,30443.006666666603,30453.214761904797,NaN,0.28120200599252954,-26.909931997528474,-27.191134003521004
1688194800,30450.45,30461.55,30412.05,30461.55,NaN,NaN,NaN,NaN,30514.591199999937,30454.671200000088,30469.67450000001,24653.75749999998,201.15865938,1549.8093799165026,30440.362222222153,30436.024761904795,30440.362222222153,3.2842986060326247,-23.085760745980224,-26.37005935201285
1688198400,30462.8,30471.6,30431.19,30442.45,NaN,NaN,NaN,NaN,30518.719199999934,30455.510900000092,30471.76540000001,24653.75749999998,168.10124745,1485.6662871705025,30436.44777777771,30412.963333333366,NaN,4.015906433907642,-21.350176309628296,-25.366082743535937
1688202000,30441.98,30461.77,30435.81,30447.5,NaN,NaN,NaN,NaN,30520.777999999937,30456.74890000009,30474.272000000008,24653.75749999998,153.78152964,921.3686216155027,30433.088888888822,30385.887142857177,NaN,4.8174805322763135,-19.344232078190544,-24.161712610466857
1688205600,30447.28,30489.35,30438.83,30468.69,NaN,NaN,NaN,NaN,30522.374399999935,30458.187900000088,30476.67000000001,24653.75749999998,205.41914152,646.9390536490027,30435.321111111047,30401.383809523846,NaN,6.63992537615291,-15.861805890275718,-22.501731266428628
1688209200,30471.02,30601.49,30470.99,30532.79,NaN,NaN,NaN,NaN,30524.215799999936,30459.41020000009,30479.23395000001,24653.75749999998,302.99931025,601.2075279850027,30446.53777777771,30422.70285714289,NaN,11.729978876963326,-7.83925767022447,-19.569236547187796
1688212800,30533.81,30629.16,30513.2,30574.94,NaN,NaN,NaN,NaN,30521.733399999932,30461.206700000093,30482.038200000014,24653.75749999998,336.13319517,506.08869164150263,30465.975555555488,30446.733809523837,NaN,17.173744449025286,1.8979440140938095,-15.275800434931474
1688216400,30581.23,30637.21,30547.73,30573.37,NaN,NaN,NaN,NaN,30519.73299999994,30463.16760000009,30484.64075000001,24653.75749999998,401.38574369,422.4626672830026,30486.4066666666,30454.54047619051,NaN,19.724588008519518,9.379934575717925,-10.344653432801593
1688220000,30573.37,30616.85,30542.65,30614.58,NaN,NaN,NaN,NaN,30519.44419999994,30462.72700000009,30487.580700000006,24653.75749999998,517.80913257,365.1727943290026,30507.396666666602,30462.744761904796,NaN,23.013647993469398,18.422406559035153,-4.591241434434243
1688223600,30613.83,30657.78,30565.55,30579.21,NaN,NaN,NaN,NaN,30519.848599999932,30461.17700000009,30490.70165000001,24653.75749999998,413.02788734,342.8526871000026,30521.675555555492,30473.400952380984,NaN,21.65338031882377,22.475483964095474,0.8221036452717012
1688227200,30579.01,30594.7,30553.01,30579.84,NaN,NaN,NaN,NaN,30522.205999999936,30459.764400000087,30493.476200000005,24653.75749999998,381.89589829,313.5348066280026,30534.818888888825,30482.650000000034,NaN,19.698395082490407,25.445097498384712,5.746702415894303
1688230800,30579.85,30596.73,30566.5,30584.04,NaN,NaN,NaN,NaN,30524.289199999934,30459.456300000093,30495.662100000005,24653.75749999998,223.8518048,299.6394580025026,30550.55111111105,30491.309523809556,NaN,17.656068389493,27.816787902760552,10.160719513267551
1688234400,30585.04,30622.96,30584.05,30620.09,NaN,NaN,NaN,NaN,30526.598199999935,30457.41680000009,30498.326700000005,24653.75749999998,203.49105194,289.0526566050026,30569.727777777713,30498.386190476223,NaN,17.65841074485494,32.233732944336225,14.575322199481286
1688238000,30620.73,30641.43,30609.17,30621.62,NaN,NaN,NaN,NaN,30528.154799999935,30458.54380000009,30500.640850000003,24653.75749999998,341.01400219,285.3825119710026,30586.71999999994,30504.875238095276,NaN,16.698956412761373,35.449017715433,18.75006130267163
1688241600,30621.77,30622.84,30593.04,30596.14,NaN,NaN,NaN,NaN,30528.62079999993,30457.30060000009,30503.052650000005,24653.75749999998,146.67786265,277.6815451435026,30593.758888888828,30510.516190476228,NaN,13.42518733235173,35.53154546811129,22.10635813575956
1688245200,30596.04,30610.06,30586.97,30598.28,NaN,NaN,NaN,NaN,30528.673399999934,30455.827900000095,30505.558100000006,24653.75749999998,174.21966387,263.3348265695025,30596.35222222216,30516.256666666704,NaN,10.604512145343897,35.36199831743943,24.757486172095533
1688248800,30598.54,30616.33,30563.46,30583.61,NaN,NaN,NaN,NaN,30532.21699999993,30454.659100000095,30506.999750000006,24653.75749999998,285.91096616,261.15034011800253,30597.48999999994,30522.685714285755,NaN,7.118747130054857,33.6559200846641,26.537172954609247
1688252400,30585.86,30608.56,30573.83,30594.48,NaN,NaN,NaN,NaN,30535.663999999928,30453.777600000096,30503.732100000005,24717.867399999977,189.13277876,261.20559520800253,30595.256666666603,30530.43047619051,NaN,5.012524326602829,32.80282836286278,27.790304036259954
1688256000,30593.98,30647.87,30559.12,30584.6,NaN,NaN,NaN,NaN,30539.08859999993,30452.985900000098,30501.117100000003,24717.867399999977,280.17027284,261.6038347010025,30595.855555555492,30539.220952380987,NaN,2.54574245399699,30.972482103756192,28.426739649759202
1688259600,30583.06,30602.64,30566.52,30572.19,NaN,NaN,NaN,NaN,30541.471999999932,30451.4622000001,30497.637000000006,24717.867399999977,160.68216202,264.2547462220025,30595.00555555549,30547.920952380984,NaN,-0.18497902750045014,28.19551586538364,28.38049489288409
1688263200,30571.46,30608.52,30478.91,30554.59,NaN,NaN,NaN,NaN,30543.618999999933,30451.0026000001,30495.59715,24717.867399999977,276.63404856,268.17481795450254,30591.733333333264,30554.060000000034,NaN,-3.2687758807234353,24.294525041979796,27.56330092270323
1688266800,30554.34,30559.53,30490.72,30514.79,NaN,NaN,NaN,NaN,30546.05239999993,30449.150000000096,30493.6372,24717.867399999977,208.9048967,268.5621298205025,30580.033333333267,30557.111904761943,NaN,-7.821517745269485,17.786403741116374,25.60792148638586
1688270400,30514.89,30542.27,30486.6,30536.48,NaN,NaN,NaN,NaN,30543.46019999993,30448.307800000097,30491.638950000004,24717.867399999977,173.11158902,268.8126468990025,30570.573333333265,30560.680000000033,NaN,-9.1143286639156,14.215010656491359,23.32933932040696
1688274000,30535.25,30555.34,30493.35,30494.34,NaN,NaN,NaN,NaN,30538.59259999993,30448.163900000098,30490.683800000003,24717.867399999977,286.11820518,275.42948067600247,30559.262222222154,30563.150952380987,30559.262222222154,-12.348814819217147,7.893320796385524,20.24213561560267
1688277600,30492.84,30516.77,30484.66,30490.98,NaN,NaN,NaN,NaN,30531.167399999933,30448.7770000001,30489.803350000006,24717.867399999977,117.6946778,271.0432574900025,30547.339999999927,30565.22142857146,NaN,-14.127753837629161,2.58244331856622,16.71019715619538
1688281200,30490.98,30525.42,30488.35,30516.37,NaN,NaN,NaN,NaN,30526.72479999993,30449.3291000001,30488.856050000006,24717.867399999977,103.85552666,261.0860683105024,30539.868888888817,30567.49190476194,NaN,-13.034171342865935,0.4174829776129627,13.451654320478898
1688284800,30516.14,30551.01,30499.25,30499.59,NaN,NaN,NaN,NaN,30523.345999999932,30449.4644000001,30488.81625000001,24717.867399999977,116.44282199,250.1015496515024,30529.325555555482,30565.910952380986,NaN,-12.858958785228472,-2.6220441610566922,10.23691462417178
1688288400,30497.95,30552.56,30497.67,30529.4,NaN,NaN,NaN,NaN,30518.41039999993,30450.1368000001,30488.312250000006,24717.867399999977,89.00518418,234.4825216760024,30523.192222222155,30563.74238095242,NaN,-10.265974518757904,-2.5955535242756014,7.670420994482303
